Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Tenure Type,Property Type,Parking Lot,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
3.0,2.0,900.0,1,1,0,1,1.0,1,1,1,1,1,250000.0,1,1,1
2.0,2.0,1100.0,0,0,0,5,3.0,0,0,0,0,0,850000.0,0,0,0
3.0,2.0,1011.0,1,0,0,5,2.0,0,0,0,1,0,300000.0,0,1,1
3.0,2.0,1190.0,0,0,0,1,1.0,0,0,0,0,0,488000.0,0,0,0
3.0,2.0,850.0,0,0,1,5,1.0,0,0,0,0,0,335000.0,0,0,0
1.0,1.0,450.0,1,0,0,5,1.0,1,0,1,1,0,368000.0,0,0,0
3.0,2.0,818.0,0,0,1,5,1.0,0,1,0,1,0,340000.0,0,0,1
3.0,2.0,850.0,0,0,1,1,1.0,0,0,0,0,0,447000.0,0,0,0
3.0,2.0,950.0,1,1,0,5,2.0,1,1,1,1,0,450000.0,0,1,1
3.0,2.0,776.0,0,0,1,0,1.0,0,0,0,0,0,178000.0,0,0,0
3.0,1.0,650.0,0,0,0,0,1.0,0,0,1,1,1,220000.0,0,0,0
3.0,2.0,850.0,0,0,1,1,1.0,0,0,0,0,0,245000.0,0,0,0
3.0,2.0,932.0,0,0,0,1,1.0,0,0,0,0,0,300000.0,0,0,0
3.0,2.0,656.0,0,0,1,0,1.0,0,0,0,0,0,230000.0,0,0,0
4.0,2.0,1340.0,1,1,1,1,1.0,1,1,0,1,1,630000.0,0,1,1
3.0,2.0,688.0,0,0,1,3,1.0,1,0,0,0,0,150000.0,0,0,0
3.0,1.0,603.0,1,1,1,0,1.0,1,1,1,1,0,235000.0,0,1,1
3.0,2.0,1048.0,0,0,1,0,2.0,0,0,1,1,0,450000.0,0,0,0
3.0,2.0,800.0,0,0,0,0,1.0,0,0,0,0,0,345000.0,0,0,0
3.0,2.0,750.0,0,0,0,0,1.0,0,0,0,0,0,345000.0,0,0,0
3.0,2.0,650.0,0,0,1,0,1.0,0,0,0,0,0,276000.0,0,0,0
3.0,2.0,700.0,0,0,0,0,1.0,0,0,0,0,0,260000.0,0,0,0
3.0,2.0,970.0,0,0,1,0,1.0,0,0,0,0,0,300000.0,0,0,0
3.0,2.0,1200.0,0,0,0,1,2.0,0,0,0,0,0,555000.0,0,0,0
3.0,2.0,900.0,0,0,0,0,1.0,0,0,0,0,0,290000.0,0,0,0
3.0,2.0,1021.0,0,0,0,1,1.0,1,1,1,1,0,339000.0,0,0,0
3.0,2.0,810.0,0,0,0,1,1.0,0,0,1,1,0,288000.0,0,0,0
3.0,2.0,1046.0,0,0,1,1,1.0,0,0,0,0,0,220000.0,0,0,0
3.0,3.0,1045.0,1,0,1,1,1.0,1,0,0,1,0,560000.0,0,1,1
3.0,2.0,700.0,0,0,0,0,1.0,0,0,0,0,0,380000.0,0,0,0
3.0,2.0,700.0,0,0,0,0,1.0,0,0,0,0,0,340000.0,0,0,0
3.0,2.0,900.0,0,0,0,1,2.0,0,0,0,0,0,400000.0,0,0,0
3.0,2.0,700.0,0,0,0,0,1.0,0,0,0,0,0,350000.0,0,0,0
3.0,2.0,750.0,0,0,0,1,1.0,0,0,0,0,0,250000.0,0,0,0
3.0,2.0,650.0,0,0,0,3,1.0,0,0,0,0,0,260000.0,0,0,0
2.0,2.0,800.0,0,0,0,1,1.0,0,0,0,0,0,399000.0,0,0,0
3.0,3.0,1082.0,0,0,0,1,1.0,0,0,0,0,0,329000.0,0,0,0
3.0,2.0,1050.0,0,0,0,1,1.0,0,0,0,0,0,550000.0,0,0,0
3.0,2.0,750.0,0,0,1,0,1.0,0,0,0,0,0,190000.0,0,0,0
2.0,1.0,500.0,0,0,0,3,1.0,0,0,0,0,0,125000.0,0,0,0
4.0,3.0,1539.0,0,0,0,1,2.0,0,0,0,0,0,538000.0,0,0,0
3.0,2.0,800.0,0,0,0,0,1.0,0,0,0,0,0,320000.0,0,0,0
3.0,2.0,800.0,0,0,0,0,1.0,0,0,0,0,0,303000.0,0,0,0
3.0,2.0,800.0,0,0,0,1,1.0,0,0,0,0,0,320000.0,0,0,0
2.0,2.0,550.0,0,0,1,0,1.0,0,0,0,0,0,150000.0,0,0,0
3.0,2.0,904.0,0,0,1,0,1.0,0,0,0,0,0,270000.0,0,0,0
3.0,2.0,1000.0,0,0,0,1,1.0,0,0,0,0,0,300000.0,0,0,0
1.0,1.0,622.0,1,0,1,5,1.0,1,0,1,1,1,570000.0,0,0,0
3.0,2.0,800.0,0,0,0,0,1.0,0,0,0,0,0,420000.0,0,0,0
1.0,1.0,640.0,0,0,0,1,1.0,0,0,0,0,0,348000.0,0,0,0
3.0,2.0,922.0,0,0,0,0,1.0,0,0,0,0,0,365000.0,0,0,0
3.0,2.0,1045.0,0,0,0,0,1.0,0,0,0,0,0,420000.0,0,0,0
5.0,4.0,2293.0,0,0,0,1,2.0,0,0,0,0,0,547000.0,0,0,0
4.0,2.0,1722.0,0,0,0,1,1.0,0,0,0,0,0,488000.0,0,0,0
3.0,2.0,760.0,0,0,0,0,1.0,0,0,0,0,0,170000.0,0,0,0
3.0,2.0,1000.0,0,0,0,1,1.0,0,0,0,0,0,530000.0,0,0,0
3.0,2.0,1288.0,0,0,0,1,1.0,0,0,0,0,0,320000.0,0,0,0
3.0,2.0,950.0,0,0,0,5,2.0,0,0,0,0,0,443000.0,0,0,0
3.0,2.0,852.0,0,0,1,0,1.0,1,0,1,1,0,250000.0,0,0,0
2.0,3.0,1378.0,0,0,1,1,1.0,0,0,0,0,0,1500000.0,0,0,0
3.0,2.0,1000.0,0,0,1,0,1.0,0,0,0,0,0,700000.0,0,0,0
2.0,2.0,947.0,0,0,0,5,2.0,0,0,0,0,0,480000.0,0,0,0
3.0,2.0,1257.0,1,1,1,5,2.0,0,1,0,1,0,688000.0,0,0,0
3.0,2.0,1038.0,1,0,0,5,2.0,0,0,0,1,0,300000.0,0,1,1
3.0,2.0,1000.0,0,0,0,1,2.0,0,0,0,0,0,1500000.0,0,0,0
4.0,3.0,1600.0,0,0,0,1,1.0,0,0,0,0,0,780000.0,0,0,0
3.0,2.0,1352.0,0,0,0,1,2.0,0,0,0,0,0,950000.0,0,0,0
3.0,2.0,1171.0,0,0,1,1,1.0,0,0,1,0,1,532000.0,0,0,0
3.0,2.0,1155.0,0,0,0,1,3.0,0,0,0,0,0,395000.0,0,0,0
4.0,3.0,1422.0,0,0,1,1,1.0,0,0,0,0,0,578000.0,0,0,0
3.0,2.0,1012.0,0,0,0,5,2.0,0,0,0,1,0,320000.0,0,0,1
3.0,2.0,1432.0,0,0,1,1,2.0,0,0,0,0,0,750000.0,0,0,0
3.0,2.0,933.0,0,0,1,5,1.0,0,0,0,0,0,600000.0,0,0,0
2.0,2.0,815.0,0,0,1,1,2.0,0,0,0,0,0,575000.0,0,0,0
3.0,2.0,933.0,0,0,1,5,2.0,0,0,0,0,0,495000.0,0,0,0
3.0,2.0,1004.0,0,0,1,1,1.0,0,0,0,0,0,715000.0,0,0,0
2.0,1.0,590.0,0,0,1,0,1.0,0,0,0,0,0,500000.0,0,0,0
3.0,2.0,852.0,1,0,1,0,1.0,1,0,1,1,0,299900.0,0,0,0
3.0,2.0,800.0,0,0,0,0,1.0,0,0,0,0,0,270000.0,0,0,0
3.0,2.0,1000.0,0,0,0,1,1.0,0,0,0,0,0,510000.0,0,0,0
3.0,2.0,743.0,0,0,0,3,2.0,0,0,0,0,0,65000.0,0,0,0
4.0,3.0,1464.0,0,0,1,1,2.0,0,0,0,0,0,930000.0,0,0,0
