Actual Price,Predicted Price
270000.0,267650.6618949611
585000.0,697039.9091209152
355000.0,332526.1661678233
310000.0,306410.68145026726
352000.0,357773.027875324
205000.0,328087.7056404801
440000.0,443539.532124361
270000.0,443539.532124361
338000.0,518354.53417287616
500000.0,505050.9524817348
265000.0,275005.40967915393
120000.0,267650.6618949611
230000.0,267650.6618949611
280800.0,418152.97313214396
698000.0,471332.43945786916
280000.0,337804.3268244809
330000.0,598797.3143555284
190000.0,267650.6618949611
290000.0,369657.84686891915
300000.0,418152.97313214396
850000.0,443539.532124361
285000.0,192883.08281778856
130000.0,190482.96756102628
1250000.0,932656.0593294598
1300000.0,1031038.5969789773
510000.0,306410.68145026726
539999.0,566637.3277978533
520000.0,299383.04631891
980000.0,502501.9980230076
460000.0,484762.65560440987
475000.0,434509.3160542895
386000.0,369657.84686891915
210000.0,306410.68145026726
438000.0,357773.027875324
270000.0,267650.6618949611
890000.0,1039850.0678433377
1050000.0,1162017.9765176477
260000.0,282766.65349916794
450000.0,347812.84143481386
283500.0,357773.027875324
558000.0,800867.0629198443
600000.0,443539.532124361
450000.0,555139.3671706067
210000.0,282766.65349916794
150000.0,267650.6618949611
195000.0,209228.10330764155
320000.0,418152.97313214396
260000.0,518354.53417287616
385000.0,369657.84686891915
300000.0,312772.6869644501
225000.0,289860.2403115492
118000.0,190482.96756102628
168000.0,267650.6618949611
270000.0,347812.84143481386
169999.0,192883.08281778856
469000.0,537409.91417168
229000.0,312772.6869644501
245000.0,299383.04631891
198000.0,306410.68145026726
265000.0,299383.04631891
350000.0,357773.027875324
280000.0,357773.027875324
558000.0,800867.0629198443
400000.0,332526.1661678233
220000.0,299383.04631891
250000.0,202235.59288642736
125000.0,190482.96756102628
700000.0,513797.4851221169
410000.0,443539.532124361
530000.0,454226.26151511574
230000.0,306410.68145026726
2680000.0,1007028.7167298222
515000.0,518354.53417287616
200000.0,328087.7056404801
530000.0,369657.84686891915
303000.0,418152.97313214396
270000.0,299383.04631891
